72	2734362
72	2686169
72	2807330
72	2786522
72	2743757
72	2738983
72	2755746
72	2730107
72	2721966
72	2740832
72	2801651
72	2811682
72	18729332
72	6849329
72	2717329
72	19590558
72	6906214
72	6882964
72	2736628
72	17255013
72	2736966
72	2721648
72	19910962
72	18723951
72	19134336
72	18396634
72	18464793
72	16164215
72	16496847
72	2771594
72	2759593
72	2784209
72	2787789
72	2731213
72	3240962
72	2779923
72	2725238
72	2752645
72	2735761
72	2761188
72	2752216
72	2808236
16	1337099
16	1335390
16	3108116
72	3884809
72	13728442
72	13618192
72	13746370
72	14166288
72	14125175
72	13641187
72	13691063
72	14094094
72	13913508
72	13877371
72	14047740
72	4078427
72	3874276
72	3898047
72	19734399
72	8034265
72	3576513
72	8111836
72	8007714
72	8078596
72	8031017
72	3179166
72	21091867
72	20337312
72	21267120
72	21639158
72	21474483
72	21699618
72	20335074
72	21668862
72	20867599
72	20993173
72	21306623
72	3998807
72	13678976
72	14351952
72	14509341
72	3882658
72	4145490
72	3783696
72	4152051
72	4069736
72	3872501
72	3999500
72	3217447
